Feature,System,Module,User Role,Priority,Status,Description,Assigned Team
Buyer Registration,Authentication,User Account,Guest,Very High,Not Started,"Allows a guest to create a buyer account with name, email and password. Validates input, hashes the password and prevents duplicate emails.","Frontend,Backend,UX/UI,Testing"
Buyer Login,Authentication,User Account,Guest,Very High,Not Started,"Authenticates a buyer with email and password and issues an access token to start a session.","Frontend,Backend,UX/UI,Testing"
Buyer Logout,Authentication,User Account,Buyer,High,Not Started,"Ends the buyer session, clears the stored token and returns the user to the public homepage.","Frontend,Backend,Testing"
Buyer Forgot Password,Authentication,User Account,Guest,High,Not Started,"Lets a buyer request a password reset link sent to their registered email address.","Frontend,Backend,UX/UI,Testing"
Buyer Reset Password,Authentication,User Account,Guest,High,Not Started,"Validates the reset token from the email link and lets the buyer set a new password.","Frontend,Backend,UX/UI,Testing"
Seller Registration,Authentication,User Account,Guest,Very High,Not Started,"Creates a seller account with owner details and store contact information, flagged as pending admin approval.","Frontend,Backend,UX/UI,Testing"
Seller Login,Authentication,User Account,Guest,Very High,Not Started,"Authenticates a seller and grants access to the seller dashboard scoped to their own store.","Frontend,Backend,UX/UI,Testing"
Seller Logout,Authentication,User Account,Seller,High,Not Started,"Ends the seller session and clears dashboard access.","Frontend,Backend,Testing"
Seller Forgot Password,Authentication,User Account,Guest,High,Not Started,"Lets a seller request a password reset link for their seller account.","Frontend,Backend,UX/UI,Testing"
Seller Reset Password,Authentication,User Account,Guest,High,Not Started,"Validates the seller reset token and stores the new password securely.","Frontend,Backend,UX/UI,Testing"
Admin Login,Authentication,User Account,Admin,Very High,Not Started,"Authenticates an administrator through a separate admin entry point with stricter session rules.","Frontend,Backend,Testing"
Email Verification,Authentication,User Account,Guest,Medium,Not Started,"Sends a verification link after registration and marks the account as verified once confirmed.",Backend
Session and Token Management,Authentication,User Account,Guest,Very High,Not Started,"Issues, refreshes and revokes JWT access tokens, including expiry handling and token storage rules.",Backend
Role Based Access Control,Authentication,User Account,Guest,Very High,Not Started,"Central permission layer that restricts every endpoint and page to the correct role: guest, buyer, seller or admin.","Backend,Testing"
Buyer Homepage,Buyer Website,Home,Guest,Very High,Not Started,"Landing page showing featured products, promoted categories and highlighted stores to start the shopping journey.","Frontend,Backend,UX/UI"
Product Listing Page,Buyer Website,Product,Guest,Very High,Not Started,"Paginated grid of all published products with image, title, price and store name.","Frontend,Backend,UX/UI"
Product Search,Buyer Website,Product,Guest,Very High,Not Started,"Keyword search across product titles, descriptions and categories with an empty state for no results.","Frontend,Backend,Testing"
Product Filtering,Buyer Website,Product,Guest,High,Not Started,"Narrows product results by category, price range, store and availability.","Frontend,Backend,UX/UI"
Product Sorting,Buyer Website,Product,Guest,Medium,Not Started,"Orders product results by newest, price ascending, price descending or popularity.","Frontend,Backend"
Category Browsing,Buyer Website,Product,Guest,High,Not Started,"Lets buyers explore products grouped by craft category such as textiles, ceramics or woodwork.","Frontend,Backend,UX/UI"
Store Directory,Buyer Website,Store Management,Guest,Medium,Not Started,"Browsable list of all approved seller stores with logo, name and short description.","Frontend,Backend,UX/UI"
Store Detail Page,Buyer Website,Store Management,Guest,Medium,Not Started,"Public store page showing the store profile, banner and all products sold by that seller.","Frontend,Backend,UX/UI"
Product Detail Page,Buyer Website,Product,Guest,Very High,Not Started,"Full product view with image gallery, price, description, stock status, seller info and reviews.","Frontend,Backend,UX/UI"
Wishlist Management,Buyer Website,Product,Buyer,Medium,Not Started,"Lets a buyer save products for later and add or remove items from a personal wishlist.","Frontend,Backend,Testing"
Add to Cart,Buyer Website,Cart,Buyer,Very High,Not Started,"Adds a product with a chosen quantity to the buyer cart and validates it against available stock.","Frontend,Backend,Testing"
